,id,title,city,quarter,price,qm,n_room,n_page,price_per_qm
0,113926252,Sofort bezugsfrei / 2 Zimmer / ca. 47m² / mit SieMatic Einbauküche / mit Balkon,Berlin,Wilmersdorf (Wilmersdorf),402000.0,47.0,2.0,1,8553.2
1,111202876,IMMERGRÜN Berlin-Pankow - Neue Stadtwohnungen - provisionsfrei,Berlin,Pankow (Pankow),279500.0,43.51,1.5,1,6423.8
2,93680992,GRANDAIRE - Erster neuer Wohnturm in Berlin-Mitte - provisionsfrei,Berlin,Mitte (Mitte),459500.0,54.4,2.0,1,8446.7
3,115267620,Dachgeschosswohnung mit fantastischer Aussicht,Berlin,Tempelhof (Tempelhof),1657478.0,192.73,5.0,1,8600.0
4,112049836,"Vermietete, provisionsfreie Kapitalanlage im Herzen von Pankow - keine Eigennutzung",Berlin,Pankow (Pankow),135500.0,44.59,2.0,1,3038.8
5,113453317,Bezugsfreies 1-Zimmerapartment in Mitte nahe Alex - provisionsfrei,Berlin,Mitte (Mitte),199500.0,33.38,1.0,1,5976.6
6,115294939,Möblierte Stadtwohnung mit Balkon und Stellplatz nahe Gendarmenmarkt,Berlin,Mitte (Mitte),1050000.0,90.0,2.0,1,11666.7
7,113338733,Penthouse-Rarität mit Rooftop-Terrasse & exklusiver Ausstattung in Top-Lage! Provisionsfrei !,Berlin,Friedrichshain (Friedrichshain),1111900.0,135.66,3.0,1,8196.2
8,100347907,Ihr kleines Gartenglück mit Terrasse im Friedrichshainer Kiez inkl. Einbauküche! Erstbezug !,Berlin,Friedrichshain (Friedrichshain),407400.0,66.98,1.0,1,6082.4
9,104266437,Mein Rückzugsort – Dachterrassenwohnung mt großzügigen Zimmern und Echtholzparkett,Berlin,Spandau (Spandau),449000.0,82.51,3.0,1,5441.8
10,104266440,Mit Blick in den ruhigen Innenhof – Moderne 3 Zimmerwohnung in bester Lage,Berlin,Spandau (Spandau),369500.0,76.27,3.0,1,4844.6
11,114792599,"Gelegenheit in Lichterfelde West - 105qm DG-Whg 1.OG, Garten, Stellplatz, 10qm Terrasse, Hobbykeller",Berlin,Lichterfelde (Steglitz),600000.0,105.0,4.0,1,5714.3
12,105543699,Große 2-Zimmer-Wohnung mit geschützter Dachterrasse in Karlshorst,Berlin,Karlshorst (Lichtenberg),410000.0,91.84,2.0,1,4464.3
13,111822139,Viel Platz auf zwei Etagen: großzügige Maisonette-Wohnung mit 4 Zimmern und sonnigem Balkon ,Berlin,Karlshorst (Lichtenberg),516000.0,111.5,4.0,1,4627.8
14,115211046,Wohnen im Stuckaltbau am Botanischen Garten,Berlin,Lichterfelde (Steglitz),912000.0,159.74,5.0,1,5709.3
15,115211047,Wohnen im Stuckaltbau am Botanischen Garten - PROVISIONSFREI!!!,Berlin,Lichterfelde (Steglitz),372000.0,62.54,2.0,1,5948.2
16,106388360,Platz für die ganze Familie: 4-Zimmer-Wohnung mit Südterrasse und privatem Gartenanteil ,Berlin,Französisch Buchholz (Pankow),590000.0,127.47,4.0,1,4628.5
17,110526887,Exklusives Open-Air Gefühl – 2-Zimmer Gartenwohnung mit Terrasse und hochwertiger Ausstattung ,Berlin,Französisch Buchholz (Pankow),342000.0,78.9,2.0,1,4334.6
18,114400461,Im Herzen von Berlin: 3-Zimmer-Wohnung mit Gäste-WC und sonnigem Südbalkon ,Berlin,Wedding (Wedding),520000.0,86.3,3.0,1,6025.5
