,id,title,city,quarter,price,qm,n_room,n_page,price_per_qm
0,115332150,Attraktive DG-Maisonette mit Freiblick nahe Prenzlauer Berg,Berlin,Weißensee (Weißensee),625000.0,114.7,3.0,1,5449.0
1,114366270,Altersgerechtes Wohnen im Viktoria Quartier! 2 Zimmer Wohnung in begehrter Lage von Berlin-Kreuzberg,Berlin,Kreuzberg (Kreuzberg),398000.0,66.0,2.0,1,6030.3
2,115294582,"EXKLUSIVE NEUBAU-WOHNUNG 
IN RUHIGER KU´DAMM-SEITENSTRAßE",Berlin,Wilmersdorf (Wilmersdorf),770000.0,96.59,3.0,1,7971.8
3,114579519,Wohnen am Bergmannkiez: Moderne 2-Zimmer-Wohnung mit hochwertiger Ausstattung,Berlin,Kreuzberg (Kreuzberg),352000.0,61.8,2.0,1,5695.8
4,114579517,Wohnen im Neubau: Moderne 2-Zimmer-Wohnung mit Garten und sonniger Terrasse in Kreuzberg,Berlin,Kreuzberg (Kreuzberg),407000.0,51.42,2.0,1,7915.2
5,114579516,Großes Schlafzimmer und Loggia: Gemütliche 2-Zimmer-Wohnung am Bergmannkiez,Berlin,Kreuzberg (Kreuzberg),410000.0,59.34,2.0,1,6909.3
6,114579514,Super Lage in Kreuzberg: Moderne 2-Zimmer-Wohnung mit Loggia und hochwertiger Ausstattung,Berlin,Kreuzberg (Kreuzberg),385000.0,58.82,2.0,1,6545.4
7,114579512,Wohnen am Bergmannkiez: Gemütliche 2-Zimmer-Wohnung mit Loggia und großem Schlafzimmer,Berlin,Kreuzberg (Kreuzberg),440000.0,59.51,2.0,1,7393.7
8,114579511,Modern und hochwertig ausgestattet: 2-Zimmer-Wohnung in super Lage am Bergmannkiez,Berlin,Kreuzberg (Kreuzberg),416000.0,53.6,2.0,1,7761.2
9,114579510,Zentrale Lage in Kreuzberg: Moderne 2-Zimmer-Wohnung mit Loggia und hochwertiger Ausstattung,Berlin,Kreuzberg (Kreuzberg),450000.0,58.99,2.0,1,7628.4
10,114579505,Große 2-Zimmer-Wohnung mit zwei Dachterrassen in sehr gut angebundener Lage in Kreuzberg,Berlin,Kreuzberg (Kreuzberg),848000.0,89.28,2.0,1,9498.2
11,113233593,City-Apartment im Szenekiez: Wohnen in gepflegtem Altbau in der Torstraße,Berlin,Mitte (Mitte),469000.0,77.88,2.0,1,6022.1
12,114877399,Umgeben von erlesenen Möglichkeiten: 4-Zimmer-Stadtwohnung in exklusiver Lage,Berlin,Wilmersdorf (Wilmersdorf),925000.0,117.76,4.0,1,7855.0
13,113578522,Aufgepasst! Charmante bezugsfreie Altbauwohnung  Nähe Botanischer Garten,Berlin,Lichterfelde (Steglitz),538000.0,99.0,3.0,1,5434.3
14,114559751,PRENZLAUER BERG- 2-Zi-Altbauwohnung - bezugsfrei,Berlin,Prenzlauer Berg (Prenzlauer Berg),270000.0,60.46,2.0,1,4465.8
15,110363685,IDEALE HAUPTSTADTWOHNUNG | MAISONETTE | ZENTRALE LAGE | QUARTIER 208 | FRIEDRICHSTRASSE,Berlin,Mitte (Mitte),950000.0,138.2,3.0,1,6874.1
16,108508120,Perspektiven am Teltowkanal: Helle 3-Zimmer-Wohnung mit 2 Balkonen,Berlin,Lichterfelde (Steglitz),613746.0,97.42,3.0,1,6300.0
17,106512869,Premium Wohnen im Apartment mit 2 Balkonen & Bad en-suite,Berlin,Friedrichshain (Friedrichshain),867000.0,125.85,4.0,1,6889.2
18,114213956,WOHNEN AN DER OBERBAUMBRÜCKE - 2 Zi - renoviert & bezugsfrei!,Berlin,Kreuzberg (Kreuzberg),313000.0,56.23,2.0,1,5566.4
19,96254436,"Für Genießer, die 100% Komfort nicht abgehoben finden",Berlin,Tiergarten (Tiergarten),726000.0,93.7,3.0,1,7748.1
20,114118030,ZUHAUSE AN DER OBERBAUMBRÜCKE - helle 2-Zi-Wohnung- bezugsfrei!,Berlin,Kreuzberg (Kreuzberg),328000.0,57.45,2.0,2,5709.3
21,113014733,fleur de berlin - Süd-Terrasse mit kleinem Privatgarten,Berlin,Wittenau (Reinickendorf),264000.0,63.0,2.0,2,4190.5
22,113014705,fleur de berlin - Vereinbaren Sie Ihren Termin in unserem Showroom vor Ort!,Berlin,Wittenau (Reinickendorf),444000.0,90.0,3.0,2,4933.3
23,113014586,Familien-Penthouse mit großer Terrasse in der Cité Foch,Berlin,Wittenau (Reinickendorf),780000.0,140.0,4.0,2,5571.4
24,113014546,fleur de berlin - Besuchen Sie uns auf dem Baufeld!,Berlin,Wittenau (Reinickendorf),420000.0,90.0,3.0,2,4666.7
25,113014455,fleur de berlin - Barrierefreie Stadtwohnung mit Blick ins Grüne,Berlin,Wittenau (Reinickendorf),264000.0,54.0,2.0,2,4888.9
26,113006353,fleur de berlin -  Ruhiggelegene Erdgeschosswohnung in Berlin-Wittenau,Berlin,Wittenau (Reinickendorf),262000.0,58.0,2.0,2,4517.2
27,112946835,"Entspannung pur: 60 m²-Dachterrasse, 2 Bäder und ein Blick ins Grüne",Berlin,Wittenau (Reinickendorf),780000.0,132.0,4.0,2,5909.1
28,112723059,fleur de berlin - Ihr Penthouse mit großer Terrasse,Berlin,Wittenau (Reinickendorf),540000.0,106.0,3.0,2,5094.3
29,112723025,fleur de berlin - Penthouse mit großer Terrasse,Berlin,Wittenau (Reinickendorf),419000.0,91.0,2.0,2,4604.4
30,112520004,fleur de berlin - Ruhiggelegene Stadtwohnung in Wittenau,Berlin,Wittenau (Reinickendorf),379000.0,83.0,3.0,2,4566.3
31,112519870,fleur de berlin - Ruhige Neubau-Wohnung mit zwei Zimmern und Balkon,Berlin,Wittenau (Reinickendorf),254000.0,55.0,2.0,2,4618.2
32,112054442,Penthouse mit großer Südterrasse und zwei Bädern im Erstbezug,Berlin,Wittenau (Reinickendorf),514000.0,97.0,3.0,2,5299.0
33,112049819,Modernes 2-Zimmer-Apartment mit intelligentem Grundriss,Berlin,Wittenau (Reinickendorf),230000.0,48.0,2.0,2,4791.7
34,112045932,fleur de berlin - Vereinbaren Sie Ihren Beratungstrermin!,Berlin,Wittenau (Reinickendorf),314000.0,66.0,2.5,2,4757.6
35,111516378,Helle Neubauwohnung mit 2 Bädern im Erstbezug!,Berlin,Wittenau (Reinickendorf),434000.0,90.0,3.0,2,4822.2
36,110900306,"Penthouse-Wohnung mit  zwei großen Terrassen, Gründach, 2 Bädern und Ankleide",Berlin,Wittenau (Reinickendorf),670000.0,131.0,4.0,2,5114.5
37,110152714,fleur de berlin - Besuchen Sie unseren Showroom auf dem Baufeld!,Berlin,Wittenau (Reinickendorf),240000.0,48.0,2.0,2,5000.0
38,108412260,ÜBER DEN DÄCHERN VON BERLIN- großzügige 4-Zi-DG-Wohnung - provisionsfrei,Berlin,Wilmersdorf (Wilmersdorf),1190000.0,195.7,4.0,2,6080.7
39,114997342,WUNDERSCHÖN SANIERT & PROVISIONSFREI - 5 Zimmer mit Balkon und Platz für die ganze Familie!,Berlin,Wilmersdorf (Wilmersdorf),1140000.0,167.0,5.0,2,6826.3
40,114902292,Urbane Rückzugsoase: Sonnige 3-Zimmer-Wohnung mit Süd-Ost-Balkon,Berlin,Alt-Hohenschönhausen (Hohenschönhausen),534000.0,87.05,3.0,3,6134.4
41,100120187,"Jetzt einziehen: 4 Zimmer, 2 Bäder & dreiseitig umlaufende Terrasse",Berlin,Charlottenburg (Charlottenburg),1310698.0,176.28,5.0,3,7435.3
42,114937314,3-Zimmer-Wohnungen auf zwei Wohnetagen in Adlershof,Berlin,Adlershof (Treptow),259000.0,60.96,3.0,3,4248.7
43,114937262,Ideal für Angestellte in Adlershof: modernes 2-Zimmer-Apartment mit hochwertiger Ausstattung,Berlin,Adlershof (Treptow),274000.0,59.01,2.0,3,4643.3
44,112536100,Kapitalanlage mit Zukunft: möbliertes Mikro-Apartment mit Bad und Hauswirtschaftsraum in Adlershof,Berlin,Adlershof (Treptow),179000.0,29.97,1.0,3,5972.6
45,112536075,Kurze Arbeitswege: 3-Zimmer-Maisonette mit moderner Ausstattung in Adlershof,Berlin,Adlershof (Treptow),245000.0,61.44,2.0,3,3987.6
46,112536071,Wohnen auf zwei Ebenen: gemütliche Maisonette-Wohnung mit hochwertiger Ausstattung in Adlershof,Berlin,Adlershof (Treptow),245000.0,61.44,2.0,3,3987.6
47,112536058,Attraktives Investment: modern möbliertes Mikro-Apartment mit bodengleicher Dusche in Adlershof,Berlin,Adlershof (Treptow),154900.0,26.98,1.0,3,5741.3
48,114580376,"Mitten im Leben! 3-Zimmer-Wohnung mit Barrierefreiheit, 2 Bädern und Balkon nahe Altstadt Köpenick",Berlin,Köpenick (Köpenick),449000.0,82.2,3.0,3,5462.3
49,114580252,Barrierefreie 3-Zimmer-Wohnung mit Loggia & Balkon in grüner Umgebung mit sehr guter Anbindung,Berlin,Köpenick (Köpenick),424000.0,81.1,3.0,3,5228.1
50,114301189,Ohne Provision! Sonnige 3-Zi.-Wohnung mit Blick weit über das Wasser und bis zur Altstadt,Berlin,Köpenick (Köpenick),754000.0,86.2,3.0,3,8747.1
51,114290973,Perfekte Symbiose aus Stadt & Natur: Großzügige 3-Zi.-Wohnung in Köpenick,Berlin,Köpenick (Köpenick),465000.0,84.5,3.0,3,5503.0
52,114290837,Offen & freundlich! 2-Zi.-Wohnung mit Süd-West-Loggia in direkter Wasserlage,Berlin,Köpenick (Köpenick),414000.0,52.6,2.0,3,7870.7
53,114290511,Urbane 3-Zi.-Wohnung mit zeitgemäßem Wohnkomfort und sonniger Loggia umgeben von viel Grün,Berlin,Köpenick (Köpenick),425000.0,78.0,3.0,3,5448.7
54,114290396,Einzigartig! Dachgeschoss-Maisonette mit 2 Bädern und großer Terrasse in Traumlage,Berlin,Köpenick (Köpenick),799000.0,137.6,4.0,3,5806.7
55,114289256,Durchdacht geplante 3-Zi.-Wohnung mit 2 Bädern und Loggia in einzigartiger Lage,Berlin,Köpenick (Köpenick),415000.0,80.9,3.0,3,5129.8
56,114289033,"Tolle 3-Zi.-Wohnung mit Loggia in Köpenick - für Naturliebhaber, Freizeitsportler und Kulturgenießer",Berlin,Köpenick (Köpenick),373000.0,74.6,3.0,3,5000.0
57,115216375,Gut geschnittene 2-Zimmer-Wohnung im Herzen von Berlin - Erstbezug,Berlin,Friedrichshain (Friedrichshain),379900.0,51.9,2.0,3,7319.8
58,115216293,Gut geschnittene 4-Zimmer-Neubauwohnung zentral gelegen in Berlin Friedrichshain,Berlin,Friedrichshain (Friedrichshain),708900.0,101.19,4.0,3,7005.6
59,115216237,Gut geschnittene 2-Zimmer-Neubauwohnung zentral gelegen in Berlin Friedrichshain,Berlin,Friedrichshain (Friedrichshain),429900.0,56.47,2.0,3,7612.9
60,115216106,Traumhafte 3-Zimmer-Penthousewohnung im Herzen von Berlin - Erstbezug,Berlin,Friedrichshain (Friedrichshain),778900.0,97.35,3.0,4,8001.0
61,115215977,Gut geschnittene 3-Zimmer-Neubauwohnung in Berlins Mitte,Berlin,Friedrichshain (Friedrichshain),499900.0,72.48,3.0,4,6897.1
62,115215890,Gut geschnittene 2-Zimmer-Neubauwohnung zentral gelegen in Berlin Friedrichshain,Berlin,Friedrichshain (Friedrichshain),408900.0,55.11,2.0,4,7419.7
63,114967618,Individuelles Wohnen auf zwei Ebenen: 2-Zimmer-Wohnung mit Balkon und Gäste-WC ,Berlin,Pankow (Pankow),399000.0,73.68,2.0,4,5415.3
64,114012492,Der exklusive Charakter dieser Dachterrasse macht Wohnen zu einem ganz besonderen Erlebnis,Berlin,Friedenau (Schöneberg),421000.0,59.61,2.0,4,7062.6
65,113967154,Pure exclusivity on the banks of the River Spree: penthouse with two roof-terraces in Berlin Mitte,Berlin,Mitte (Mitte),1000000.0,126.73,4.0,4,7890.8
66,115030532,"PROVISIONSFREI! SEHR GUT AUSGESTATTETE, GEPFLEGTE UND BESONDERE WOHNUNG IN SCHÖNEM NEUBAU MIT AUFZUG",Berlin,Weißensee (Weißensee),255000.0,58.36,2.0,4,4369.4
67,114948024,"Vermietete, gut geschnittene 3-Zimmer-Wohnung mit Balkon in ausgezeichneter Lage von Neukölln",Berlin,Neukölln (Neukölln),295000.0,79.0,3.0,4,3734.2
