;city;hasCourtage;houseNo;id;latitude;longitude;marketingType;n_page_is24;n_room;postcode;privateOffer;purchase_price;purchase_price_per_qm;qm;quarter;rent_cold;rent_cold_per_qm;street;title
0;Berlin;NO;13;115408865;52.55042;13.21433;PURCHASE;1;4.0;13585;false;705000.0;6752.9;104.4;Spandau (Spandau);;;Parkstraße;Ein hohes Maß an Komfort! Dachgeschoss-Maisonette direkt am Wasser mit Denkmal-AfA
1;Berlin;NO;13;115408859;52.55042;13.21435;PURCHASE;1;4.0;13585;false;703000.0;6756.4;104.05;Spandau (Spandau);;;Parkstraße;Dachgeschoss-Maisonette-Wohnung mit Ausblick auf die Havel in Altstadt-Nähe! *Denkmal-AfA*
2;Berlin;NO;13;115408828;52.55042;13.21435;PURCHASE;1;4.0;13585;false;609000.0;6117.5;99.55;Spandau (Spandau);;;Parkstraße;Modernes Wohnen in direkter Wasserlage im historischen Speicher mit Denkmal-AfA kombiniert
3;Berlin;NO;13;115061351;52.55042;13.21435;PURCHASE;1;4.0;13585;false;604000.0;6058.2;99.7;Spandau (Spandau);;;Parkstraße;Neues Wohnen im historischen Speicher mit unverbaubarem Weitblick auf die Havel und Denkmal-AfA!
4;Berlin;NO;13;113832032;52.55037;13.21432;PURCHASE;1;5.0;13585;false;717000.0;6748.2;106.25;Spandau (Spandau);;;Parkstraße;Einzigartig! Große Dachgeschoss-Maisonette mit herrlichem Wasserblick und Denkmal-AfA
5;Berlin;NO;13;113467311;52.55042;13.21435;PURCHASE;1;4.0;13585;false;599000.0;5993.0;99.95;Spandau (Spandau);;;Parkstraße;Wohnen. Wasser. Wunderbar. Denkmal-AfA und provisionsfrei - 4-Zimmer-Wohnung mit Balkon
6;Berlin;NO;13;113354218;52.55042;13.21435;PURCHASE;1;3.0;13585;false;599000.0;5993.0;99.95;Spandau (Spandau);;;Parkstraße;Wohnen direkt am Wasser! 3-Zimmer-Gartenwohnung mit herrlicher Terrasse und Denkmal-AfA
7;Berlin;NO;13;112774510;52.55042;13.21435;PURCHASE;1;4.0;13585;false;585000.0;5873.5;99.6;Spandau (Spandau);;;Parkstraße;Vorteile durch Denkmal-AfA sichern! Moderne 4-Zimmer-Wohnung im historischen Speicher
8;Berlin;NO;13;112774422;52.55042;13.21435;PURCHASE;1;4.0;13585;false;597000.0;6006.0;99.4;Spandau (Spandau);;;Parkstraße;Direkt am Wasser und von Grün umgeben! 4-Zimmer-Wohnung auf ca. 100m² mit Denkmal-AfA!
9;Berlin;NO;13;112412348;52.55042;13.21435;PURCHASE;1;4.0;13585;false;582000.0;5872.9;99.1;Spandau (Spandau);;;Parkstraße;Havel-Blick und Wohlfühlambiente! Genießen Sie Ihre 4-Zimmer-Wohnung in vollen Zügen *Denkmal-AfA*
10;Berlin;NO;11;114847766;52.42696;13.57389;PURCHASE;1;3.0;12527;false;426000.0;4848.6;87.86;Grünau (Köpenick);;;Regattastraße;Einzug ab Sommer 2020! Nachhaltige 3-Zimmer-Wohnung mit schönem Balkon - an der Dahme!
11;Berlin;NO;11;115028431;52.42708;13.57572;PURCHASE;1;2.0;12527;false;419000.0;5835.7;71.8;Grünau (Köpenick);;;Regattastraße;Wasserblick garantiert! Offen geschnittene 2-Zimmer-Wohnung auf ca 72 m² mit herrlichem Balkon
12;Berlin;NO;11;114772472;52.42708;13.57572;PURCHASE;1;4.0;12527;false;810000.0;6110.9;132.55;Grünau (Köpenick);;;Regattastraße;Barrierefreie 4-Zimmer-Wohnung mit zwei Balkonen, zwei Bädern und Ankleideraum
