,Unnamed: 0,postcode,n_restaurant
0,0,10965,261
1,1,10711,220
2,2,10961,237
3,3,10119,350
4,4,10709,253
5,5,12203,115
6,6,10437,306
7,7,10117,325
8,8,10243,373
9,9,10997,341
10,10,10783,250
11,11,13469,64
12,12,13055,93
13,13,14059,195
14,14,12489,74
15,15,12555,62
16,16,10249,331
17,17,13187,125
18,18,12161,183
19,19,10179,351
20,20,13086,130
21,21,12051,155
22,22,10439,244
23,23,10245,289
24,24,10178,357
25,25,13189,148
26,26,12437,86
27,27,10629,277
28,28,14195,117
29,29,10625,288
30,30,12157,178
31,31,12165,140
32,32,10781,261
33,33,10789,282
34,34,10555,203
35,35,13585,81
36,36,10713,200
37,37,10787,282
38,38,10717,294
39,39,10247,230
40,40,12557,60
41,41,13156,81
42,42,10557,263
43,43,14199,128
44,44,10317,121
45,45,10969,302
46,46,12207,91
47,47,12347,116
48,48,12169,160
49,49,12209,85
50,50,10559,172
51,51,12101,169
52,52,10318,80
53,53,13127,48
54,54,13353,180
55,55,12167,148
56,56,14050,118
57,57,12205,92
58,58,14167,67
59,59,10365,114
60,60,10963,242
61,61,10999,305
62,62,10589,181
63,63,12053,205
64,64,10115,334
65,65,10627,255
66,66,12305,68
67,67,10967,269
68,68,10785,291
69,69,10707,293
70,70,14193,86
71,71,10405,350
72,72,13507,74
73,73,13355,304
74,74,12359,101
75,75,14169,72
76,76,12527,41
77,77,10407,242
78,78,10715,236
79,79,12559,41
80,80,10587,272
81,81,10435,350
82,82,10825,262
83,83,10777,298
84,84,14129,36
85,85,14109,37
86,86,13359,129
87,87,13158,76
88,88,10827,240
89,89,10719,299
90,90,10553,173
91,91,14057,207
92,92,12524,59
93,93,12435,239
94,94,13403,102
95,95,12107,121
96,96,10829,230
97,97,13407,120
98,98,12459,73
99,99,12279,77
100,100,13509,81
101,101,13409,117
102,102,13349,131
103,103,12163,165
104,104,12047,262
105,105,10315,89
106,106,12439,77
107,107,12103,146
108,108,13593,74
109,109,12159,182
110,110,14163,50
111,111,13125,29
112,112,10823,231
113,113,12045,247
114,114,12351,99
115,115,13057,60
116,116,13465,22
117,117,12049,210
118,118,12249,108
119,119,13089,96
120,120,12487,87
121,121,13357,191
122,122,14197,166
123,123,13351,132
124,124,10779,287
125,125,13597,92
126,126,12059,200
127,127,14089,28
128,128,13439,75
129,129,12307,56
130,130,13053,74
131,131,14055,81
132,132,14165,56
133,133,12353,91
134,134,14052,103
135,135,13503,41
136,136,10585,254
137,137,10551,169
138,138,12247,130
139,139,13088,93
140,140,12099,144
141,141,12349,100
142,142,10409,242
143,143,10623,311
144,144,12105,148
145,145,13347,173
146,146,13581,87
147,147,12043,210
148,148,13587,70
149,149,13629,96
150,150,13595,74
151,151,12055,143
152,152,13583,86
153,153,12623,64
154,154,12629,55
155,155,13059,55
156,156,12627,56
157,157,12685,62
158,158,13129,44
159,159,12621,66
160,160,10367,121
161,161,12357,86
162,162,13467,51
163,163,12587,38
164,164,12689,65
165,165,12057,127
166,166,13589,75
167,167,13627,115
168,168,12277,83
169,169,12109,128
170,170,12619,59
171,171,13591,73
172,172,13051,72
173,173,12681,83
174,174,10319,85
175,175,13405,102
176,176,13437,89
177,177,12309,61
178,178,13505,33
179,179,12679,57
180,180,12683,66
181,181,10369,121
