,postcode,name,stars,ratings,min_price,categories,latitude,longitude
0,10965,Berlin Big's,8,54,12,"['American', 'Burgers', 'Pasta']",52.4555715,13.437615
1,10965,Riga's Pizza Box,9,4888,12,"['Italian style pizza', 'Burgers', 'Pasta']",52.5148805,13.4738729
2,10965,Izumi Restaurant Sushi Bar,8,953,35,['Sushi'],52.5111789,13.3886504
3,10965,Sushi Yana,9,7313,8,"['Sushi', 'Japanese', 'Asian']",52.4806624,13.4223432
4,10965,Pizza Noi,9,208,15,"['Italian style pizza', 'Burgers', 'Pasta']",52.50064,13.3629801
5,10965,Hummus Schale,10,540,40,"['Italian style pizza', 'Vegetarian', 'Pasta']",52.5072813,13.4677193
6,10965,MITA Berlin,9,332,50,"['Sushi', 'Curry', 'Asian']",52.506727,13.470472
7,10965,TATA Fusion,9,150,50,"['Vegetarian', 'Japanese', 'Noodles']",52.5064761,13.4701026
8,10965,Saki Sushi,9,132,25,['Sushi'],52.46349,13.3442201
9,10965,Dawat Indische Spezialitäten,9,1675,18,"['Indian', 'Snacks', 'Chicken']",52.412163,13.3125831
10,10965,Da Vinci Pizza-Pasta-Salate,9,583,14.9,"['Italian style pizza', 'Vegan', 'Pasta']",52.5026859,13.3562157
11,10965,Lon Men,9,14776,20,['Chinese'],52.4884322,13.3365507
12,10965,Shawarma One,9,362,15,"['Lebanese', 'Burgers', 'Döner']",52.4818212,13.3491987
13,10965,Tex-Mex Mexicanisches Restaurant,8,1125,39.9,"['Mexican', 'Burgers']",52.5106593,13.3013469
14,10965,Dildaar Indische Spezialitäten,9,1929,18,"['Indian', 'Lunch', 'Vegan']",52.5318293,13.469589
15,10965,Gimme Sushi,8,169,15,"['Sushi', 'Japanese']",52.4997045,13.4170335
16,10965,Quick Burger,9,414,9.9,"['Snacks', 'Burgers', 'Hot dog']",52.4855631,13.44828
17,10965,Thai Viet,10,6855,14,"['Sushi', 'Thai', 'Vietnamese']",52.4856979,13.3453815
18,10965,Sushi Nami,10,242,15,"['Sushi', 'Snacks', 'Soups']",52.4970039,13.4323711
19,10965,Bergmann Burger,9,177,10,"['American', 'Burgers']",52.4902266,13.3873411
20,10965,Ohanami Sushi & More,9,1669,19.9,"['Sushi', 'Vietnamese', 'Asian']",52.4927526,13.3456038
21,10965,Imren Burger,7,266,10,"['Chicken', 'American', 'Burgers']",52.4908579,13.4212879
22,10965,Sushi For You,9,1797,9,"['Sushi', 'Japanese', 'Asian']",52.48531,13.37528
23,10965,iiu - Asian Fusion Food,9,3760,20,"['Sushi', 'Vietnamese', 'Japanese']",52.50018,13.42427
24,10965,Call a Pizza,9,2528,8,"['Italian style pizza', 'Burgers', 'Pasta']",52.4938837,13.3459186
25,10965,Amar,9,4884,14.9,"['Indian', 'Chicken', 'Vegetarian']",52.4998211,13.4439799
26,10965,Sushi Moto,10,255,13.5,"['Sushi', 'Soups', 'Asian']",52.49528,13.43024
27,10965,Yogi indisches Restaurant,9,3524,12.9,"['Indian', 'Snacks', 'Chicken']",52.525,13.35716
28,10965,Beef Fabrik,9,861,12,"['American', 'Burgers', 'Fries']",52.4835194,13.4401877
29,10965,Pizza & Burger Bulls,9,113,15,"['Italian', 'Italian style pizza', 'American']",52.49431,13.33926
30,10965,Indisches Restaurant Muglia,9,8757,9.9,"['Indian', 'Chicken', 'Curry']",52.490441,13.4017038
31,10965,BurgerCrew,7,1925,14.9,"['American', 'Vegetarian', 'Burgers']",52.4771045,13.4392189
32,10965,Yoko Sushi,10,125,9.9,"['Sushi', 'Vietnamese', 'Japanese']",52.4679324,13.3852077
33,10965,Viet Cocos,9,1765,15,"['Sushi', 'Thai', 'Vietnamese']",52.4588251,13.3840084
34,10965,At Omar's,9,193,11.9,"['Falafel', 'Salads', 'Syrian']",52.4949189,13.3242146
35,10965,L'Amore Pizza & Burger,9,1074,8.5,"['Italian style pizza', 'Salads', 'Pasta']",52.4656,13.39028
36,10965,Schöne Burger,9,480,15,"['Burgers', 'Salads', 'Fries']",52.4968006,13.3534786
37,10965,Shahjahan indisch,9,6289,18,"['Indian', 'Chicken', '100% Halal']",52.4963003,13.4419265
38,10965,West Burger,9,513,10,"['Snacks', 'American', 'Burgers']",52.4869588,13.3228903
39,10965,Pizzeria Yasmin,9,578,9.9,"['Italian', 'Italian style pizza', 'Pasta']",52.468414,13.385091
40,10965,Valentino,9,708,45,"['Italian', 'Italian style pizza', 'Burgers']",52.39812,13.38857
41,10965,Big Bao Vietnamese Cuisine,9,791,15,"['Vietnamese', 'Asian', 'Noodles']",52.4898177,13.3506322
42,10965,Sushi Paris,9,2602,50,['Sushi'],52.49778,13.31968
43,10965,Hallo India,9,63,20,"['Indian', 'Snacks']",52.48036,13.32795
44,10965,Sindbad Restaurant,9,107,14,"['Lebanese', 'Sandwiches', 'Arab']",52.4923913,13.3869581
45,10965,Bärlin Burger,9,1203,10,"['American', 'Vegetarian', 'Burgers']",52.4976949,13.3612724
46,10965,Guacamole,8,405,10,"['Mexican', 'Drinks/Snacks', 'Sandwiches']",52.4851164,13.384907
47,10965,Tele Pizza,9,405,7.9,"['Snacks', 'Italian style pizza', 'Burgers']",52.50346,13.34623
48,10965,Yasaka Sushi,9,610,12,"['Sushi', 'Chicken', 'Salads']",52.468414,13.385091
49,10965,Columbus Croque,8,8949,13,"['Snacks', 'Italian style pizza', 'French']",52.4644506,13.3762169
50,10965,Hai!Sushi ®,9,340,20,"['Sushi', 'Vegetarian', 'Japanese']",52.4472487,13.3857271
51,10965,King Burger,9,59,35,"['Snacks', 'Burgers']",52.4776472,13.3290788
