;id;title;city;quarter;postcode;street;houseNo;price;qm;n_room;latitude;longitude;privateOffer;marketingType;hasCourtage;n_page_is24;price_per_qm
0;114366270;Altersgerechtes Wohnen im Viktoria Quartier! 2 Zimmer Wohnung in begehrter Lage von Berlin-Kreuzberg;Berlin;Kreuzberg (Kreuzberg);10965;;;398000.0;66.0;2.0;;;false;PURCHASE;YES;1;6030.3
1;115294582;"EXKLUSIVE NEUBAU-WOHNUNG 
IN RUHIGER KU´DAMM-SEITENSTRAßE";Berlin;Wilmersdorf (Wilmersdorf);10711;;;770000.0;96.59;3.0;;;false;PURCHASE;YES;1;7971.8
2;114579519;Wohnen am Bergmannkiez: Moderne 2-Zimmer-Wohnung mit hochwertiger Ausstattung;Berlin;Kreuzberg (Kreuzberg);10961;Baruther Straße;5;352000.0;61.8;2.0;52.49401;13.38979;false;PURCHASE;NO;1;5695.8
3;114579517;Wohnen im Neubau: Moderne 2-Zimmer-Wohnung mit Garten und sonniger Terrasse in Kreuzberg;Berlin;Kreuzberg (Kreuzberg);10961;Baruther Straße;5;407000.0;51.42;2.0;52.49401;13.38979;false;PURCHASE;NO;1;7915.2
4;114579516;Großes Schlafzimmer und Loggia: Gemütliche 2-Zimmer-Wohnung am Bergmannkiez;Berlin;Kreuzberg (Kreuzberg);10961;Baruther Straße;5;410000.0;59.34;2.0;52.49401;13.38979;false;PURCHASE;NO;1;6909.3
5;114579514;Super Lage in Kreuzberg: Moderne 2-Zimmer-Wohnung mit Loggia und hochwertiger Ausstattung;Berlin;Kreuzberg (Kreuzberg);10961;Baruther Straße;5;385000.0;58.82;2.0;52.49401;13.38979;false;PURCHASE;NO;1;6545.4
6;114579512;Wohnen am Bergmannkiez: Gemütliche 2-Zimmer-Wohnung mit Loggia und großem Schlafzimmer;Berlin;Kreuzberg (Kreuzberg);10961;Baruther Straße;5;440000.0;59.51;2.0;52.49401;13.38979;false;PURCHASE;NO;1;7393.7
7;114579511;Modern und hochwertig ausgestattet: 2-Zimmer-Wohnung in super Lage am Bergmannkiez;Berlin;Kreuzberg (Kreuzberg);10961;Baruther Straße;5;416000.0;53.6;2.0;52.49401;13.38979;false;PURCHASE;NO;1;7761.2
8;114579510;Zentrale Lage in Kreuzberg: Moderne 2-Zimmer-Wohnung mit Loggia und hochwertiger Ausstattung;Berlin;Kreuzberg (Kreuzberg);10961;Baruther Straße;5;450000.0;58.99;2.0;52.49401;13.38979;false;PURCHASE;NO;1;7628.4
9;114579505;Große 2-Zimmer-Wohnung mit zwei Dachterrassen in sehr gut angebundener Lage in Kreuzberg;Berlin;Kreuzberg (Kreuzberg);10961;Baruther Straße;5;848000.0;89.28;2.0;52.49401;13.38979;false;PURCHASE;NO;1;9498.2
10;113233593;City-Apartment im Szenekiez: Wohnen in gepflegtem Altbau in der Torstraße;Berlin;Mitte (Mitte);10119;;;469000.0;77.88;2.0;;;false;PURCHASE;YES;1;6022.1
11;114877399;Umgeben von erlesenen Möglichkeiten: 4-Zimmer-Stadtwohnung in exklusiver Lage;Berlin;Wilmersdorf (Wilmersdorf);10709;Nestorstraße;50;925000.0;117.76;4.0;52.49668;13.30076;false;PURCHASE;YES;1;7855.0
12;113578522;Aufgepasst! Charmante bezugsfreie Altbauwohnung  Nähe Botanischer Garten;Berlin;Lichterfelde (Steglitz);12203;Undinestr. 11, Flotowstr.;13;538000.0;99.0;3.0;52.44284;13.31135;false;PURCHASE;YES;1;5434.3
13;114559751;PRENZLAUER BERG- 2-Zi-Altbauwohnung - bezugsfrei;Berlin;Prenzlauer Berg (Prenzlauer Berg);10437;Korsörer Straße;17;270000.0;60.46;2.0;52.5474;13.40251;false;PURCHASE;YES;1;4465.8
14;110363685;IDEALE HAUPTSTADTWOHNUNG | MAISONETTE | ZENTRALE LAGE | QUARTIER 208 | FRIEDRICHSTRASSE;Berlin;Mitte (Mitte);10117;Behrenstrasse;28;950000.0;138.2;3.0;52.51554;13.3896;false;PURCHASE;YES;1;6874.1
15;108508120;Perspektiven am Teltowkanal: Helle 3-Zimmer-Wohnung mit 2 Balkonen;Berlin;Lichterfelde (Steglitz);12203;Hindenburgdamm;1;613746.0;97.42;3.0;52.43166;13.31036;false;PURCHASE;YES;1;6300.0
16;106512869;Premium Wohnen im Apartment mit 2 Balkonen & Bad en-suite;Berlin;Friedrichshain (Friedrichshain);10243;Mühlenstraße;20;867000.0;125.85;4.0;52.50456;13.44144;false;PURCHASE;YES;1;6889.2
17;114213956;WOHNEN AN DER OBERBAUMBRÜCKE - 2 Zi - renoviert & bezugsfrei!;Berlin;Kreuzberg (Kreuzberg);10997;Falckensteinstraße;44a;313000.0;56.23;2.0;52.50015;13.44438;false;PURCHASE;YES;1;5566.4
18;96254436;Für Genießer, die 100% Komfort nicht abgehoben finden;Berlin;Tiergarten (Tiergarten);10783;Dennewitzstraße;40;726000.0;93.7;3.0;52.49922;13.37027;false;PURCHASE;YES;1;7748.1
19;114118030;ZUHAUSE AN DER OBERBAUMBRÜCKE - helle 2-Zi-Wohnung- bezugsfrei!;Berlin;Kreuzberg (Kreuzberg);10997;Falckensteinstraße;44a;328000.0;57.45;2.0;52.50015;13.44438;false;PURCHASE;YES;1;5709.3
20;113014733;fleur de berlin - Süd-Terrasse mit kleinem Privatgarten;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;264000.0;63.0;2.0;52.60263;13.32091;false;PURCHASE;NO;2;4190.5
21;113014705;fleur de berlin - Vereinbaren Sie Ihren Termin in unserem Showroom vor Ort!;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;444000.0;90.0;3.0;52.60263;13.32091;false;PURCHASE;NO;2;4933.3
22;113014586;Familien-Penthouse mit großer Terrasse in der Cité Foch;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;780000.0;140.0;4.0;52.60263;13.32091;false;PURCHASE;NO;2;5571.4
23;113014546;fleur de berlin - Besuchen Sie uns auf dem Baufeld!;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;420000.0;90.0;3.0;52.60263;13.32091;false;PURCHASE;NO;2;4666.7
24;113014455;fleur de berlin - Barrierefreie Stadtwohnung mit Blick ins Grüne;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;264000.0;54.0;2.0;52.60263;13.32091;false;PURCHASE;NO;2;4888.9
25;113006353;fleur de berlin -  Ruhiggelegene Erdgeschosswohnung in Berlin-Wittenau;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;262000.0;58.0;2.0;52.60263;13.32091;false;PURCHASE;NO;2;4517.2
26;112946835;Entspannung pur: 60 m²-Dachterrasse, 2 Bäder und ein Blick ins Grüne;Berlin;Wittenau (Reinickendorf);13469;Avenue Charles de Gaulle;10;780000.0;132.0;4.0;52.60263;13.32091;false;PURCHASE;NO;2;5909.1
