;id;title;city;quarter;postcode;street;houseNo;purchase_price;rent_cold;qm;n_room;latitude;longitude;privateOffer;marketingType;hasCourtage;n_page_is24;rent_cold_per_qm
0;115168796;Diese Wohnung wird modernisiert!;Berlin;Spandau (Spandau);13583;Zeppelinstr.;85;;497.17;60.52;2.0;52.54634;13.18475;false;RENT;;1;8.2
1;115461269;Besichtigung am Sonntag, den 26.01. um 13:30 Uhr! Loftmaisonette mit Garten und Terrasse!;Berlin;Spandau (Spandau);13585;Groener Straße;19;;1016.0;112.67;4.0;52.5432;13.20322;false;RENT;;1;9.0
2;115439152;Wilhelmstädter Wohnung mit viel Platz!;Berlin;Spandau (Spandau);13595;Weverstr.;7;;532.19;65.46;2.0;52.51967;13.20104;false;RENT;;1;8.1
3;114618260;Sofort bezugsfertig: 3-Zimmer-Dachgeschosswohnung mit Balkon;Berlin;Karow (Weißensee);13125;Am Hohen Feld;"125a
";;1158.95;89.15;3.0;52.6137;13.49547;false;RENT;;1;13.0
4;109894326;Sofort bezugsfertig: Tolle 2-Zimmer-Wohnung mit Balkon;Berlin;Karow (Weißensee);13125;Am Hohen Feld;"125a
";;799.32;66.61;2.0;52.6137;13.49547;false;RENT;;1;12.0
5;114273663;Top-Studiowohnung in Dachmaisonette am Schloß Britz;Berlin;Britz (Neukölln);12359;Alt-Britz;88;;950.0;112.0;3.0;52.44637;13.43624;false;RENT;;1;8.5
6;115004008;Reinkommen und Wohlfühlen: familienfreundliche 4-Zi.-Wohnung;Berlin;Neukölln (Neukölln);12051;Mariendorfer Weg;53;;1341.0;95.81;4.0;52.46374;13.42684;false;RENT;;1;14.0
7;115440581;Familienfreundliches Wohnen im Grünen - Terrasse und Garten inklusive!;Berlin;Müggelheim (Köpenick);12559;Alt-Müggelheim;17;;833.0;86.2;3.0;52.41232;13.66255;false;RENT;;1;9.7
8;115198989;Repräsentative 3-Zimmer-Wohnung mit Balkon in Alt-Hohenschönhausen;Berlin;Neu-Hohenschönhausen (Hohenschönhausen);13053;Wartenberger Straße;42 B;;980.0;73.89;3.0;52.56589;13.50969;false;RENT;;1;13.3
9;115025258;Neubau in Alt-Hohenschönhausen: 4-Zimmer-Wohnung mit EBK und zwei Balkonen;Berlin;Neu-Hohenschönhausen (Hohenschönhausen);13053;Wartenberger Straße;42 A;;1175.0;94.69;4.0;52.56589;13.50969;false;RENT;;1;12.4
10;114791625;3-Zimmer-Wohnung mit EBK und Balkon in Berlin-Lichtenberg;Berlin;Neu-Hohenschönhausen (Hohenschönhausen);13053;Wartenberger Straße;40 A;;935.0;73.83;3.0;52.56589;13.50969;false;RENT;;1;12.7
11;114790600;Gemütliche 2-Zimmer-Wohnung mit moderner Einbauküche und Terrasse in ruhiger Lage;Berlin;Neu-Hohenschönhausen (Hohenschönhausen);13053;Wartenberger Straße;42 C;;655.0;62.31;2.0;52.56589;13.50969;false;RENT;;1;10.5
12;114580358;Erstbezug: 2-Zimmer-Wohnung mit Balkon im 5. OG;Berlin;Neu-Hohenschönhausen (Hohenschönhausen);13053;Wartenberger Straße;42;;760.0;58.92;2.0;52.56589;13.50969;false;RENT;;1;12.9
13;114580165;Modernes 2-Zimmer-Apartment mit EBK und Balkon in Berlin-Lichtenberg;Berlin;Neu-Hohenschönhausen (Hohenschönhausen);13053;Wartenberger Straße;42 A;;765.0;61.3;2.0;52.56592;13.50973;false;RENT;;1;12.5
14;114579916;Lichtdurchflutete 2-Zimmer-Wohnung mit EBK und Terrasse;Berlin;Neu-Hohenschönhausen (Hohenschönhausen);13053;Wartenberger Straße;40 A;;725.0;63.08;2.0;52.56589;13.50969;false;RENT;;1;11.5
15;114579829;Gemütliche 2-Zimmer-Wohnung in modernem Quartier;Berlin;Neu-Hohenschönhausen (Hohenschönhausen);13053;Wartenberger Straße;42 C;;615.0;54.29;2.0;52.56589;13.50969;false;RENT;;1;11.3
16;115302916;Renoviertes Schmuckstück zum Wohlfühlen;Berlin;Köpenick (Köpenick);12557;Glienicker Str.;6;;753.3;77.82;3.0;52.44157;13.56875;false;RENT;;1;9.7
17;114365579;lichtdurchflutete 3-Zimmer-Wohnung im Herz von Prenzlauer Berg;Berlin;Prenzlauer Berg (Prenzlauer Berg);10435;Danziger Straße;73;;1749.0;92.62;3.0;52.53925;13.4253;false;RENT;;1;18.9
18;113704438;Vom MORGENMANTEL direkt in den ARZTKITTEL! Wohnen neben der Charité!!!;Berlin;Mitte (Mitte);10117;Luisenstraße;50;;1530.0;102.0;3.0;52.52431;13.37996;false;RENT;;1;15.0
19;114437800;Luisenpark - 4 Zimmer mit großer Terrasse im Erstbezug;Berlin;Mitte (Mitte);10179;Stallschreiberstraße;31;;2249.0;125.2;4.0;52.50828;13.40586;false;RENT;;1;18.0
20;115288585;Von Preußen nach Europa: Einzigartiges Wohnen zwischen Frierichswerderschen Kirche und Humbold Forum;Berlin;Mitte (Mitte);10117;;;;1813.0;65.94;2.0;;;false;RENT;;2;27.5
21;114012650;360 Grad Blick auf Berlins historische Mitte: Penthouse mit Belvedere, Concierge, TG-Stellplatz;Berlin;Mitte (Mitte);10117;;;;5100.0;123.0;2.0;;;false;RENT;;2;41.5
22;115405610;Ob Erdgeschoss oder Stiegenhaus, traumhafte Erstbezüge.;Berlin;Friedrichsfelde (Lichtenberg);10315;Löwenberger Straße;5;;1000.94;77.0;3.0;52.51175;13.50788;false;RENT;;2;13.0
23;108484203;Sofort bezugsfertig: 2-Zimmer-Wohnung mit Wannenbad & Balkon im idyllischen Karow;Berlin;Karow (Weißensee);13125;Hofzeichendamm;"13b
";;780.5;62.44;2.0;52.615;13.48961;false;RENT;;2;12.5
24;113897977;Einzigartiges Ambiente: Möblierte Cityresidenz mit Concierge-Service;Berlin;Mitte (Mitte);10117;;;;2720.0;68.0;2.0;;;false;RENT;;2;40.0
25;115402056;Wohnen im „Lindenhof“: Sonnige MOVE-IN-Suite mit West-Loggia;Berlin;Lichtenberg (Lichtenberg);10365;Im Lindenhof;1;;714.0;55.0;2.0;52.51848;13.50707;false;RENT;;2;13.0
26;115025698;Vollmöblierte Wohnung am Lokdepot!;Berlin;Kreuzberg (Kreuzberg);10965;Am Lokdepot;13;;1799.0;115.0;3.0;52.48577;13.37374;false;RENT;;2;15.6
27;115230398;Tolle Singlewohnung im schönen Friedenau!;Berlin;Friedenau (Schöneberg);12159;Schnackenburgstr.;12-13;;409.0;32.0;1.0;52.47425;13.33402;false;RENT;;2;12.8
28;115205963;gemütliche 1-Zimmer-Wohnung in Moabit;Berlin;Tiergarten (Tiergarten);10551;Emdener Straße;29;;318.14;36.61;1.0;52.53245;13.33499;false;RENT;;2;8.7
29;84230002;2-Zimmer Maisonette Wohnung mit offener Küche!;Berlin;Reinickendorf (Reinickendorf);13403;Eichborndamm;39;;458.42;50.0;2.0;52.57163;13.31308;false;RENT;;2;9.2
30;113885749;PARAGON Apartments - 2 Zimmer, Parkett, EBK und ruhigem Balkon in Prenzlauer Berg;Berlin;Prenzlauer Berg (Prenzlauer Berg);10435;Danziger Straße;73;;1459.0;75.02;2.0;52.53925;13.4253;false;RENT;;2;19.4
31;115238928;Neubau Erstbezug Apartment vollmöbliert, löffelfertig und digital im Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;887.68;24.82;1.0;52.50168;13.37382;false;RENT;;2;35.8
32;115472015;Penthouse mit Dachterrasse und Balkon am Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5a;;3795.0;158.14;4.0;52.50198;13.37378;false;RENT;;2;24.0
33;115469574;Gleis Park Apartment mit Balkon;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;1480.0;70.49;2.0;52.49582;13.36897;false;RENT;;2;21.0
34;115340148;Neubau Erstbezug, vollmöbliert, löffelfertig und digital im Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;971.82;29.87;1.0;52.50168;13.37382;false;RENT;;2;32.5
35;115339973;Neubau Erstbezug, vollmöbliert, löffelfertig und digital im Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;1127.41;34.46;1.0;52.50168;13.37382;false;RENT;;2;32.7
36;115338103;Neubau Erstbezug, vollmöbliert, löffelfertig und digital im Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;973.51;29.33;1.0;52.50168;13.37382;false;RENT;;2;33.2
37;115239292;Gleis Park Apartment digital, vollmöbliert und löffelfertig;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;1609.61;49.68;2.0;52.50168;13.37382;false;RENT;;2;32.4
38;115239249;Neubau Erstbezug Apartment vollmöbliert löffelfertig und digital im Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;1046.7;31.5;1.0;52.50168;13.37382;false;RENT;;2;33.2
39;115239130;Gleis Park Apartment digital, vollmöbliert und löffelfertig;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5;;929.79;27.33;1.0;52.50168;13.37382;false;RENT;;2;34.0
40;115129950;Apartment mit Balkon im Gleis Park;Berlin;Kreuzberg (Kreuzberg);10785;Schöneberger Ufer;5a;;2077.0;90.31;3.0;52.50168;13.37382;false;RENT;;3;23.0
