Jahr,Bundesland,Beförderte Personen,Beförderungsleistung,Fahrleistung,Bevölkerung,Fläche,Bevölkerungsdichte,Neue Länder,Stadtstaaten
2004,Baden-Württemberg,1091473450,11076230772,484087448,10694000,35674,299.7701407187307,0,0
2004,Bayern,1405157288,17221129878,679756602,12420000,70542,176.0653227864251,0,0
2004,Berlin,1228133237,7852570182,189569941,3387000,891,3801.3468013468014,0,1
2004,Brandenburg,149022984,2456013803,119572460,2569000,29654,86.63249477304916,1,0
2004,Bremen,139943540,1001309514,61002831,663000,420,1578.5714285714287,0,1
2004,Hamburg,530454970,3836224078,104524211,1737000,755,2300.662251655629,0,1
2004,Hessen,1252616356,28327822367,698808026,6088000,21116,288.31218033718505,0,0
2004,Mecklenburg-Vorpommern,123866496,1757851753,91217950,1729000,23293,74.2283089340145,1,0
2004,Niedersachsen,566171518,6941535756,362992815,7991000,47710,167.49109201425279,0,0
2004,Nordrhein-Westfalen,2396557519,23162309654,864246805,18070000,34113,529.7100812007153,0,0
2004,Rheinland-Pfalz,287292150,4394756377,189993634,4057000,19858,204.30053378990834,0,0
2004,Saarland,101771012,1200189923,63779414,1060000,2571,412.290937378452,0,0
2004,Sachsen,468217324,4260006349,218076119,4315000,18450,233.87533875338752,1,0
2004,Sachsen-Anhalt,196590129,2504724900,128872625,2517000,20452,123.0686485429298,1,0
2004,Schleswig-Holstein,254212918,4381739022,154269091,2824000,15802,178.7115554993039,0,0
2004,Thüringen,182883260,2903140655,127612660,2369000,16202,146.216516479447,1,0
2005,Baden-Württemberg,1113422788,11060159047,477157118,10728000,35674,300.7232157874082,0,0
2005,Bayern,1436841862,16419345019,643111153,12456000,70542,176.57565705537127,0,0
2005,Berlin,1268238337,8252905698,193141383,3390000,891,3804.7138047138046,0,1
2005,Brandenburg,143034627,2329611407,118852495,2562000,29654,86.39643892898091,1,0
2005,Bremen,151020318,1109486852,59394681,663000,420,1578.5714285714287,0,1
2005,Hamburg,528391090,3823455423,97623935,1739000,755,2303.3112582781455,0,1
2005,Hessen,1242135419,27923175580,664082110,6092000,21116,288.50161015343815,0,0
2005,Mecklenburg-Vorpommern,125901500,2534268993,93384096,1713000,23293,73.5414072897437,1,0
2005,Niedersachsen,574360436,7635060180,346161729,8000000,47710,167.67973171242926,0,0
2005,Nordrhein-Westfalen,2501677121,24689659009,850509942,18065000,34113,529.5635095125026,0,0
2005,Rheinland-Pfalz,265991130,4314806531,176529927,4060000,19858,204.4516064054789,0,0
2005,Saarland,99977347,1122963246,61706857,1055000,2571,410.3461688059121,0,0
2005,Sachsen,453451328,4394733376,216517599,4284000,18450,232.1951219512195,1,0
2005,Sachsen-Anhalt,195317870,2457127100,126366596,2483000,20452,121.40621944064151,1,0
2005,Schleswig-Holstein,245076003,4713216912,159821765,2829000,15802,179.0279711428933,0,0
2005,Thüringen,174607829,2838323464,123000573,2345000,16202,144.7352178743365,1,0
2006,Baden-Württemberg,1136381777,11393006915,474257534,10739000,35674,301.03156360374504,0,0
2006,Bayern,1268440288,14550668683,612379628,12478000,70542,176.88752799750503,0,0
2006,Berlin,1294644207,8310105222,195756949,3399000,891,3814.814814814815,0,1
2006,Brandenburg,143133429,2283177978,124374837,2553000,29654,86.09293855803601,1,0
2006,Bremen,144518608,1028620192,56797972,664000,420,1580.952380952381,0,1
2006,Hamburg,542657032,3863441223,104027088,1748000,755,2315.2317880794703,0,1
2006,Hessen,1457033222,30833888638,665495652,6079000,21116,287.88596325061565,0,0
2006,Mecklenburg-Vorpommern,121011314,1764496774,91668719,1700000,23293,72.98329970377367,1,0
2006,Niedersachsen,565058272,8082046206,341417845,7988000,47710,167.42821211486063,0,0
2006,Nordrhein-Westfalen,2479616081,24687542849,814979605,18042000,34113,528.8892797467241,0,0
2006,Rheinland-Pfalz,268312496,4352322390,175106613,4055000,19858,204.19981871286132,0,0
2006,Saarland,100151055,1177177584,59564441,1049000,2571,408.01244651886424,0,0
2006,Sachsen,437975057,4260819702,210657796,4262000,18450,231.00271002710028,1,0
2006,Sachsen-Anhalt,189913511,2407169333,122539280,2456000,20452,120.08605515353021,1,0
2006,Schleswig-Holstein,235069832,4401127853,150188763,2833000,15802,179.28110365776485,0,0
2006,Thüringen,171417171,2865171672,119079562,2324000,16202,143.43908159486483,1,0
2007,Baden-Württemberg,1151048071,11529091039,462917022,10745000,35674,301.1997533217469,0,0
2007,Bayern,1280087928,14674340796,605857604,12504000,70542,177.25610274729948,0,0
2007,Berlin,1279463550,8335761104,184616659,3408000,891,3824.915824915825,0,1
2007,Brandenburg,138117624,2075078827,113545535,2541000,29654,85.68827139677614,1,0
